now,messages,Hex_Code,Aircraft_Type,Flight_Number,Registration,t,Barometric_Altitude,Geometric_Altitude,Ground_Speed,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,Latitude,Longitude,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,baro_rate,true_heading,dbFlags,nav_altitude_fms,calc_track,mag_heading,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,gpsOkBefore,gpsOkLat,gpsOkLon,rr_lat,rr_lon,lastPosition.lat,lastPosition.lon,lastPosition.nic,lastPosition.rc,lastPosition.seen_pos
1704067199.122,148041829,71c083,adsb_icao,KAL074  ,HL8083,B789,38000,35325.0,480.9,246.21,-64.0,2257,none,A5,1012.8,38016.0,236.25,"['autopilot', 'vnav', 'lnav', 'tcas']",61.179932,-173.716703,8.0,186.0,19.683,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],35016306,19.7,-29.1,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,c01734,other,,C-FIUL,B77W,32000,,473.0,263.0,,2647,,A5,,,,,57.906609,-171.506378,0.0,0.0,29.851,,,,,,,,,,,[],[],56655034,29.9,-49.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,86e800,other,,JA875A,B789,39975,37425.0,479.9,248.0,-64.0,5765,,A5,,,,,59.776379,-170.813065,0.0,0.0,29.903,2.0,,,,,,,,0.0,0.0,[],[],34755581,29.9,-49.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,86eb36,other,JAL9    ,JA882J,B789,38975,36475.0,,254.0,,5651,,A5,1012.8,39008.0,241.17,"['autopilot', 'vnav', 'lnav', 'tcas']",59.300812,-170.125122,0.0,0.0,17.78,2.0,1.0,,,,,,,0.0,0.0,[],[],34663127,17.8,-30.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,86d9f4,other,,JA837A,B789,40975,,479.0,266.0,,2707,,A5,,,,,58.00621,-169.591782,0.0,0.0,1.65,2.0,,,,,,,,,,[],[],33020158,1.6,-49.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,867f68,other,JAL11   ,JA731J,B77W,36000,,475.0,267.0,,2646,,A5,,,,,58.034775,-168.746994,0.0,0.0,1.822,2.0,,,,,,,,,,[],[],29021442,1.8,-49.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a31a34,adsb_icao,UAL79   ,N29968,B789,37975,35500.0,485.6,254.1,-64.0,3016,none,A5,1012.8,38016.0,239.77,"['autopilot', 'vnav', 'lnav', 'tcas']",61.101837,-168.710273,8.0,186.0,4.254,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],42474984,2.0,-28.8,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,c02ebd,other,,C-FRSE,B789,34000,,482.0,267.0,,7073,,A5,,,,,58.038849,-168.61055,0.0,0.0,1.671,2.0,,,,,,,,,,[],[],49744693,1.7000000000000002,-49.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,71ba06,adsb_icao,KAL092  ,HL7206,B789,37975,35525.0,482.6,250.89,-64.0,7332,none,A5,1012.8,38016.0,236.95,"['autopilot', 'vnav', 'lnav', 'tcas']",62.332702,-167.533159,8.0,186.0,0.467,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],35317869,0.5,-15.7,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,71c007,adsb_icao,KAL038  ,HL8007,B77W,34000,31625.0,468.7,258.93,,6527,none,A5,1012.8,34016.0,244.69,,60.408605,-167.053789,8.0,186.0,0.467,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],31743432,0.5,-22.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a4c74c,adsb_icao,N407GV  ,N407GV,C208,1600,1275.0,164.8,299.83,,1200,none,A1,1003.2,800.0,289.69,['autopilot'],61.80978,-164.984436,9.0,75.0,19.683,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1448205,17.7,-27.8,-320.0,,,,,,,,,,,,,,,,,,,,,,,,
